CustomerId,"이탈(1),유지(0)",이탈확률(%),실제이탈여부
15681412,0,17.18,0
15651554,1,64.99,1
15706954,0,1.65,0
15773895,0,2.28,0
15751131,1,91.55,1
15804822,0,3.55,0
15809823,0,10.37,0
15603082,0,1.71,0
15610454,1,76.34,1
15734177,0,11.44,0
15591100,0,19.93,0
15740072,0,47.75,1
15675380,0,8.74,0
15742665,1,89.74,1
15718289,0,3.55,0
15750671,1,61.0,0
15650026,0,1.41,0
15578980,0,15.75,0
15694859,0,3.57,0
15605926,1,50.51,0
15799468,0,1.28,0
15646037,0,3.18,0
15641655,1,58.08,1
15807593,0,9.39,1
15806967,1,67.1,0
15585748,0,17.02,0
15597951,0,42.72,0
15637118,0,15.56,0
15622370,0,4.94,0
15606554,0,1.26,0
15794854,0,15.83,0
15781127,0,7.73,1
15786539,1,86.1,1
15756070,0,12.59,0
15757566,0,14.86,0
15768359,0,4.23,0
15714789,1,85.17,1
15783489,0,4.55,0
15707114,0,14.47,0
15602456,0,1.42,0
15812594,0,28.01,0
15751455,0,3.03,0
15592773,1,91.37,1
15662758,1,71.41,1
15603328,0,11.2,0
15620557,0,2.73,0
15781462,0,20.46,0
15677369,0,9.65,0
15761950,0,8.78,0
15593585,1,79.7,0
15806438,0,0.9,0
15665416,0,13.55,0
15802481,0,29.74,1
15788189,0,1.6,0
15776518,0,1.49,0
15700656,0,29.68,0
15671351,0,35.67,0
15793331,0,1.54,0
15673908,0,1.63,0
15573851,1,95.76,1
15585066,0,3.71,0
15768233,0,2.89,0
15695879,0,14.64,1
15754537,1,76.43,1
15715951,0,1.85,0
15767757,0,10.06,0
15622117,0,19.54,0
15614168,0,3.77,0
15639552,1,63.74,1
15746664,1,72.08,1
15806795,0,14.53,0
15779904,0,2.01,0
15694408,0,1.53,0
15659366,0,26.61,0
15784092,1,60.48,0
15808566,0,43.65,1
15591036,0,11.39,0
15624695,0,1.2,0
15641733,1,64.45,1
15741417,0,11.32,0
15771580,0,44.86,0
15738291,0,11.69,0
15642725,0,8.66,0
15601659,0,27.93,0
15726153,0,2.92,0
15657771,0,20.72,0
15657779,1,84.67,1
15617655,0,0.96,0
15683553,0,24.25,1
15804816,1,66.85,1
15717706,0,38.89,0
15617655,0,23.36,1
15672016,0,6.66,0
15814664,0,23.67,1
15686975,0,5.96,0
15584462,1,58.71,0
15600792,0,7.91,0
15694854,1,81.52,1
15704586,0,8.35,0
15582892,1,93.9,1
15623478,0,8.16,1
15761168,0,2.06,0
15665634,0,24.41,0
15705034,0,1.5,0
15684955,0,1.1,0
15811978,0,10.9,0
15728906,0,0.97,0
15595282,0,1.91,0
15648876,0,14.57,0
15593128,0,9.21,0
15632472,0,12.77,1
15701688,0,1.04,0
15676571,1,67.72,1
15594612,1,60.03,0
15582325,0,12.02,0
15679810,0,3.13,0
15737571,0,9.48,0
15806913,0,1.37,0
15596936,0,17.74,0
15809515,1,75.64,1
15739357,0,9.41,0
15767129,0,5.81,0
15726103,1,93.12,1
15593854,0,24.68,0
15771383,1,64.8,0
15689598,0,5.72,0
15596914,1,79.67,1
15792525,1,66.3,0
15645200,0,1.72,0
15723720,0,28.73,0
15676966,0,3.03,0
15793726,0,3.45,0
15807312,0,1.26,0
15797900,1,66.01,1
15768530,0,1.99,0
15643671,0,6.57,0
15643487,0,9.51,0
15747288,0,7.54,0
15605050,0,47.7,1
15640133,0,2.01,0
15746662,0,0.73,0
15730397,0,15.01,0
15618239,0,4.11,0
15797165,0,2.58,0
15726354,0,10.07,0
15582180,0,4.66,0
15700696,1,65.34,1
15691803,0,8.49,0
15636395,0,5.01,0
15640667,0,7.84,0
15684296,0,6.79,0
15691708,0,20.43,0
15672798,0,11.7,0
15760774,0,4.94,0
15594812,0,1.54,0
15678057,1,95.63,1
15793881,0,4.74,0
15782736,0,1.25,0
15592028,0,40.11,0
15615177,0,2.84,0
15648876,0,33.4,0
15690954,0,13.62,0
15682914,0,5.58,0
15699430,0,7.56,0
15578738,0,1.39,0
15752300,0,1.03,0
15772337,1,74.08,0
15677049,0,16.61,0
15682463,1,93.41,1
15797160,0,13.37,0
15682639,0,16.96,0
15721937,0,2.05,0
15751137,0,0.93,0
15628298,0,4.68,0
15658058,1,61.16,1
15780409,0,2.88,0
15793842,1,94.17,1
15598884,0,32.3,0
15664808,0,47.03,0
15678729,0,8.88,0
15774151,0,42.93,0
15692407,0,3.55,0
15742293,0,10.74,0
15673971,0,0.81,0
15729579,1,55.09,1
15782993,0,2.43,0
15750441,0,4.73,0
15666821,0,12.16,1
15715750,1,65.93,1
15807008,0,9.86,0
15595588,0,12.35,0
15632125,0,4.16,0
15706904,0,7.57,0
15729279,0,27.8,0
15743085,0,1.72,0
15783065,0,0.94,0
15573876,0,23.61,0
15791045,0,41.0,1
15786069,1,64.06,0
15656865,1,83.29,1
15701167,1,88.3,1
15719212,0,10.55,0
15692731,0,42.46,0
15598088,0,16.38,0
15581323,0,6.26,0
15648069,0,8.71,0
15694852,0,1.35,0
15624391,0,4.39,0
15705735,0,3.11,0
15608595,0,3.4,0
15614361,1,92.94,1
15776404,0,1.29,0
15740476,0,11.4,0
15672588,0,22.63,1
15648775,1,91.93,1
15595036,0,6.55,0
15688637,1,66.35,1
15680804,0,12.46,0
15803689,1,91.86,1
15792365,0,1.97,0
15782404,0,30.86,0
15757837,0,14.15,0
15691874,0,1.23,0
15659710,0,3.65,0
15793365,0,3.36,0
15581280,1,84.54,1
15651740,1,95.02,1
15730448,0,5.97,0
15627000,0,9.18,0
15694129,0,8.78,0
15757911,1,75.52,1
15762277,0,8.95,1
15654890,0,4.06,0
15588958,1,55.55,1
15635277,1,93.78,1
15648479,0,47.55,0
15742297,0,3.51,0
15681274,0,9.43,0
15763274,0,8.97,0
15792720,1,58.57,0
15778025,0,3.62,0
15720071,0,16.05,0
15635067,1,56.12,1
15671591,1,79.88,1
15611189,0,11.74,1
15598521,1,91.55,1
15583736,0,7.68,0
15777892,1,75.83,0
15584532,0,45.76,1
15776629,0,42.08,0
15636684,0,20.07,0
15677522,0,6.45,0
15741181,1,54.61,0
15744109,0,3.06,0
15724161,0,28.73,1
15696900,0,28.6,1
15572428,0,14.5,0
15641366,0,11.24,0
15584776,0,3.87,0
15654379,0,4.56,0
15759991,0,4.13,0
15592386,0,2.12,0
15622993,0,4.53,0
15671256,1,51.25,0
15738884,0,49.56,0
15610912,0,17.96,0
15626385,0,3.05,0
15702095,0,2.56,0
15595039,0,1.94,0
15702030,0,3.21,0
15706005,0,11.77,0
15589433,1,60.79,0
15641733,0,0.92,0
15708504,0,6.38,0
15579287,0,3.65,0
15792993,0,17.7,0
15763415,0,4.2,0
15657565,0,13.63,0
15766183,0,3.23,0
15770041,1,52.19,1
15579546,0,31.51,0
15786643,0,0.74,0
15673599,1,91.93,1
15723886,0,8.81,0
15682457,0,1.71,0
15762048,0,2.12,0
15573599,1,52.93,1
15680421,0,30.32,0
15751775,0,6.79,0
15711314,0,4.77,1
15586522,0,5.94,0
15770030,0,8.4,0
15803908,1,93.22,1
15616380,0,2.77,0
15651140,0,16.44,0
15621446,0,3.93,0
15581677,0,11.79,0
15700693,0,0.9,0
15722061,0,44.04,0
15802869,0,8.27,0
15683593,0,4.08,0
15714658,0,1.33,0
15732661,1,57.66,1
15766667,0,2.31,0
15682533,0,4.76,0
15583049,0,46.29,0
15645511,0,1.03,0
15750602,0,34.3,0
15796074,0,13.28,0
15591740,0,7.14,0
15671443,0,5.43,0
15725478,1,96.29,1
15724307,0,8.2,1
15692599,0,3.28,0
15752312,0,49.45,1
15661827,0,1.94,0
15797960,0,35.35,1
15743067,0,44.63,1
15809137,0,23.56,1
15751175,1,88.93,1
15576085,0,1.95,0
15632665,0,40.7,0
15735330,0,4.83,0
15742210,0,16.14,0
15690175,0,35.41,0
15687903,0,5.1,0
15791513,1,84.94,1
15802351,0,3.91,0
15634262,0,8.57,0
15705994,0,15.27,0
15674922,0,6.73,0
15661629,0,7.13,0
15711249,0,41.42,1
15687540,1,93.81,1
15808389,0,1.29,0
15671387,0,3.16,0
15673591,1,78.52,1
15717231,0,2.62,0
15648876,0,1.38,0
15662955,0,8.46,0
15658969,0,2.4,0
15629551,0,1.08,0
15701166,0,1.55,0
15616172,0,16.0,0
15681075,1,65.59,1
15776921,0,22.49,0
15603594,1,95.18,1
15653347,0,2.58,0
15586959,0,0.64,0
15806901,0,1.54,0
15646372,1,79.22,1
15671915,0,1.6,0
15809823,0,13.63,0
15692575,1,90.88,1
15742116,1,55.09,1
15763662,1,86.68,1
15739857,0,2.37,0
15763093,0,33.49,1
15676835,0,45.81,0
15794847,0,4.12,0
15686885,0,17.46,0
15661657,0,24.01,0
15728773,0,19.83,0
15717185,0,3.54,0
15725094,0,6.06,1
15707962,0,11.7,0
15569595,1,85.55,0
15572706,0,1.2,0
15582392,0,21.68,0
15642726,0,14.31,0
15709447,0,2.53,0
15740487,1,81.12,0
15692761,0,4.37,0
15740264,0,1.19,0
15669414,0,19.83,0
15619494,0,6.64,0
15737489,0,39.05,0
15732937,0,24.81,1
15793326,0,0.74,0
15703728,0,25.88,0
15751022,1,68.76,0
15656094,1,51.75,0
15579891,0,40.75,0
15591698,0,3.32,0
15661830,0,39.69,0
15576623,1,74.3,1
15771272,0,13.07,0
15815050,1,79.15,1
15762984,0,33.46,0
15612478,1,90.15,0
15788367,1,79.75,1
15631159,1,85.1,1
15808526,1,53.16,0
15725355,0,16.93,0
15807595,0,10.98,0
15604544,0,7.25,0
15570194,1,86.74,1
15661903,0,6.06,0
15751531,0,11.54,1
15783629,1,55.26,1
15632944,1,57.88,0
15648047,0,10.65,0
15669414,0,24.13,0
15801414,1,59.48,1
15649430,0,11.56,1
15757911,0,0.83,0
15709135,0,37.05,1
15718572,0,1.58,0
15690744,0,15.94,1
15674929,0,0.9,0
15662976,0,19.6,0
15789563,0,1.02,0
15642710,0,2.88,0
15592707,0,2.05,0
15730673,0,37.39,0
15806523,1,91.42,1
15577078,0,7.6,0
15592077,0,39.22,1
15737047,0,3.21,0
15712199,0,15.38,0
15674880,0,11.91,0
15644854,0,2.48,0
15641733,0,3.48,0
15573318,0,19.37,1
15714256,0,8.64,0
15590606,0,14.86,0
15766355,0,4.58,0
15745266,0,34.57,1
15776743,0,5.82,0
15667521,0,3.69,0
15804787,0,4.6,0
15797767,0,1.18,0
15800229,1,52.36,0
15588907,0,1.38,0
15757981,0,2.21,0
15720919,0,26.26,0
15733227,0,29.57,0
15591360,0,16.49,0
15597951,1,81.66,1
15806926,0,6.23,0
15583467,0,14.74,0
15719778,0,18.05,0
15766765,0,26.56,1
15573086,0,1.23,0
15799479,1,53.82,0
15643361,0,2.13,0
15693337,0,13.19,0
15603088,0,0.79,0
15731281,0,4.04,0
15582762,0,1.16,0
15756650,0,0.75,0
15649033,0,3.09,0
15705657,0,10.67,0
15790810,0,17.74,0
15732903,0,1.38,0
15585067,0,23.38,1
15761554,1,92.45,1
15690146,0,3.14,0
15797964,0,28.29,0
15662662,0,2.63,0
15605113,0,9.75,0
15595071,1,66.29,1
15583073,0,3.38,0
15603665,0,39.93,0
15654067,0,2.17,0
15602378,0,7.64,0
15648766,0,4.83,0
15581871,0,4.73,0
15787204,0,19.01,0
15697034,0,4.08,0
15620505,0,14.84,0
15683544,1,87.86,1
15696744,0,4.11,0
15715877,0,1.77,0
15807239,0,19.0,0
15612103,0,32.77,0
15591607,0,13.26,0
15812594,0,9.0,0
15771750,0,1.93,0
15642996,1,80.69,1
15680643,0,1.5,0
15792102,0,30.44,0
15576517,0,12.69,0
15642530,0,15.18,0
15814536,0,10.53,0
15792679,0,2.13,0
15648800,0,9.91,0
15576085,0,6.82,0
15775663,0,5.95,1
15656300,0,38.51,1
15643691,0,32.22,1
15681554,1,92.62,1
15724563,0,45.58,0
15726774,0,9.18,0
15674583,0,23.8,1
15716236,0,47.97,1
15779738,0,9.81,0
15771573,1,57.83,1
15773934,0,15.86,1
15663438,0,2.92,0
15658670,0,9.74,1
15778489,0,38.49,1
15815125,0,2.41,0
15580148,0,39.29,0
15785042,0,4.23,0
15781586,0,3.02,0
15667476,0,1.47,0
15672299,1,81.76,1
15691823,0,19.83,0
15693773,0,0.83,0
15642041,0,9.07,1
15621682,0,3.18,0
15677906,0,1.08,0
15657214,1,88.62,1
15806901,0,2.86,0
15705639,0,6.43,0
15667934,0,21.67,0
15666332,0,2.51,0
15587521,0,11.64,0
15792650,0,1.9,0
15784923,0,33.7,1
15756913,1,52.57,1
15725698,0,34.52,1
15586069,0,4.37,0
15576615,0,3.61,0
15607065,0,0.8,0
15567993,0,10.67,0
15601410,1,50.21,1
15589739,0,3.85,0
15677307,0,10.4,0
15661528,0,4.85,0
15750497,0,49.59,1
15814267,0,14.54,0
15592025,1,85.06,1
15772601,0,21.53,1
15621031,0,2.72,0
15638068,0,19.66,0
15570145,0,1.44,0
15598088,0,10.34,0
15741693,0,0.81,0
15739357,0,8.22,0
15794868,0,38.17,0
15742632,0,25.05,0
15689412,1,68.93,0
15619436,0,2.01,0
15592914,0,31.55,1
15600997,0,16.79,0
15589805,0,7.41,0
15691874,0,30.24,0
15618581,0,8.22,0
15697095,0,2.63,0
15673820,0,15.37,0
15784862,0,1.95,0
15604882,0,1.51,0
15572361,0,3.17,0
15767064,0,15.36,0
15783025,0,13.96,0
15623521,0,20.91,0
15668830,1,81.48,0
15651674,0,2.73,0
15756850,1,55.39,1
15641585,0,46.85,1
15594812,1,81.43,0
15741072,0,10.01,0
15578728,0,13.71,0
15702061,0,3.49,0
15706071,0,0.93,0
15595228,0,33.44,0
15751167,1,75.66,1
15803455,0,0.95,0
15681439,1,92.82,1
15754072,0,7.19,0
15779738,0,0.9,0
15797475,0,27.23,0
15574878,0,1.58,0
15809909,0,3.36,0
15758769,0,13.72,0
15693376,0,20.2,0
15661526,0,22.49,0
15666916,0,5.3,0
15591766,0,49.93,0
15783526,1,74.05,0
15692929,0,13.86,0
15583026,0,22.17,0
15702499,0,8.33,0
15625761,1,90.86,0
15641822,0,1.2,0
15744035,0,6.25,0
15582960,0,4.19,0
15709476,0,1.23,0
15720671,0,7.26,0
15647975,0,14.5,0
15792679,0,8.29,0
15740900,0,10.32,0
15650591,0,22.94,0
15691744,0,35.45,0
15680141,0,1.02,0
15679743,0,32.49,1
15591169,0,3.09,0
15736299,0,15.12,0
15684269,0,33.43,1
15590011,0,30.34,0
15643359,0,30.15,1
15753888,0,4.16,0
15622507,0,21.56,0
15696674,0,24.25,1
15771299,0,1.96,0
15636684,0,0.86,0
15726058,0,8.93,0
15649992,0,14.93,0
15596962,1,76.55,1
15791836,0,1.83,0
15803876,0,1.62,0
15724307,0,3.11,0
15673591,0,3.98,0
15755678,0,3.84,0
15726310,1,92.75,1
15593499,0,1.1,0
15784761,1,95.09,1
15718893,0,1.94,0
15706021,1,95.98,1
15786196,0,8.01,0
15693817,0,13.23,0
15771668,0,22.49,0
15783540,0,9.39,0
15571261,0,9.67,1
15652914,0,17.5,1
15771742,0,4.13,0
15721582,0,1.65,0
15702634,0,2.29,0
15585961,0,1.62,0
15651140,1,60.51,0
15693347,0,30.45,0
15682974,0,24.63,1
15610454,0,22.76,1
15631339,0,1.89,0
15789548,0,6.51,0
15773939,0,11.16,0
15780386,0,11.54,0
15584090,0,18.67,0
15593973,1,88.0,1
15653784,0,18.9,0
15793053,0,6.54,0
15617454,0,6.74,0
15755895,0,1.39,0
15583033,0,30.1,0
15730272,0,10.46,0
15781323,1,89.1,1
15794345,0,10.33,1
15731519,0,0.92,0
15765518,0,2.87,0
15673372,0,1.79,0
15646835,1,90.79,1
15762169,0,21.13,0
15650751,1,70.9,0
15674991,0,8.74,1
15722053,0,1.97,0
15728010,0,13.39,0
15703820,0,0.83,0
15692404,0,10.97,0
15794414,0,3.54,0
15641490,0,30.65,0
15759067,0,6.48,0
15594720,1,91.02,1
15659031,0,1.2,0
15722965,0,19.97,1
15697424,0,5.17,1
15781589,0,1.99,0
15591550,1,50.9,1
15794580,0,15.08,0
15681542,0,15.55,0
15642063,0,2.4,0
15734886,0,10.61,0
15643908,0,3.05,0
15804822,0,1.73,0
15583548,0,1.33,0
15728362,0,16.71,0
15601659,1,62.06,0
15763613,0,1.56,0
15792630,1,60.1,1
15751148,0,35.02,0
15651526,0,5.09,0
15642870,0,30.22,1
15753837,0,3.51,0
15767804,1,52.14,0
15687527,0,29.44,1
15793688,1,76.98,1
15578374,1,93.06,1
15814032,0,15.43,1
15578788,0,11.81,0
15754526,1,92.86,1
15585892,0,18.42,0
15600813,0,3.06,0
15761180,0,1.17,0
15631460,0,2.82,0
15740257,1,95.67,1
15769246,0,6.61,0
15767488,1,73.48,0
15813067,0,5.33,0
15790732,0,3.72,0
15747000,0,2.03,0
15768449,0,31.95,0
15614491,0,28.85,0
15705918,0,34.2,1
15676526,0,45.66,1
15709405,0,12.37,0
15637235,0,0.84,0
15597914,0,15.14,0
15671345,0,9.2,0
15652289,0,3.12,0
15593470,0,17.44,0
15774104,0,3.32,0
15583739,0,26.31,0
15653572,0,4.4,0
15664808,0,2.41,0
15771299,0,8.98,0
15662955,0,1.98,0
15616700,0,33.96,0
15690934,0,23.83,0
15592222,0,21.18,0
15699340,0,1.57,0
15781316,0,7.92,0
15625905,1,84.63,1
15707637,0,2.12,0
15743828,0,7.97,0
15785170,0,37.14,0
15578098,0,1.17,0
15668270,0,4.28,0
15656062,0,5.67,0
15662085,0,2.94,0
15593594,0,11.05,0
15714493,0,4.49,0
15752588,1,89.35,1
15639278,1,74.34,1
15673790,0,25.85,0
15647890,0,29.52,0
15812197,0,9.41,0
15742028,0,11.82,0
15792650,0,11.02,0
15753856,0,7.97,0
15782730,0,31.15,0
15716491,0,4.44,0
15720702,0,2.7,0
15728010,0,6.78,1
15601012,0,3.82,0
15793337,0,4.62,0
15780386,0,29.47,0
15713267,0,1.91,0
15807340,0,1.39,0
15603088,0,9.43,0
15782419,0,1.86,0
15672051,0,9.28,0
15732266,0,3.28,0
15654074,0,12.9,0
15783865,0,23.88,0
15703037,0,23.31,1
15682756,0,5.81,0
15592089,0,45.15,1
15698902,1,67.01,1
15757821,0,2.18,0
15684484,0,2.33,0
15793070,0,4.29,0
15691703,0,1.05,0
15603665,0,1.41,0
15695846,0,4.07,0
15593128,1,72.67,0
15643658,0,6.83,0
15586629,0,14.62,0
15604544,0,27.7,1
15670873,0,3.85,0
15656592,0,28.81,1
15741633,0,15.29,1
15728693,1,78.4,1
15583595,1,87.03,1
15585892,1,78.52,1
15652615,0,22.87,0
15572431,0,3.94,0
15781598,0,0.79,0
15710397,0,2.79,0
15810944,0,3.24,0
15602979,0,3.77,0
15624229,0,30.57,1
15767339,1,56.4,0
15666297,0,6.99,0
15758056,0,11.26,0
15724876,0,17.78,0
15771855,0,19.27,0
15682268,0,17.85,0
15639590,0,1.84,0
15691817,0,12.71,0
15665784,0,5.42,0
15699467,0,1.59,0
15596522,0,1.46,0
15569892,1,59.86,1
15781409,0,48.5,1
15597909,0,3.52,0
15684318,0,2.29,0
15616451,0,39.03,1
15661473,0,2.36,0
15654891,0,27.35,0
15648032,0,5.51,0
15607312,0,9.17,0
15642479,0,1.93,0
15622527,0,24.31,0
15636105,0,4.41,0
15578736,0,1.42,0
15594812,0,5.83,0
15750569,0,5.3,0
15737998,0,1.28,0
15664547,0,14.21,0
15612207,0,7.79,0
15726487,0,7.66,0
15766006,0,17.61,0
15621063,0,32.76,1
15642815,0,9.13,0
15639217,0,0.64,0
15815615,0,5.22,0
15683553,1,66.61,1
15718531,0,2.22,0
15736154,0,1.05,0
15671590,0,34.12,0
15808566,0,1.18,0
15614834,0,29.79,0
15731522,0,18.15,0
15666884,0,5.24,0
15782311,0,14.28,0
15688128,0,3.94,0
15677052,0,8.08,0
15787835,1,85.2,1
15589257,0,5.34,0
15641640,0,15.49,0
15642434,1,82.66,1
15694628,0,13.96,0
15570205,0,2.72,0
15779913,1,59.52,0
15704081,0,6.06,0
15766064,0,1.89,0
15793723,0,39.87,0
15766355,0,3.51,0
15703394,0,18.85,0
15662263,0,5.24,0
15641621,0,6.67,0
15718789,1,55.13,1
15623277,0,2.23,0
15634936,0,1.54,0
15753549,0,11.84,0
15749669,0,1.33,0
15644833,0,4.17,0
15771299,0,0.73,0
15662408,0,20.31,0
15663939,0,28.19,0
15648047,0,1.77,0
15717286,0,0.79,0
15644788,0,28.59,0
15668775,0,14.78,0
15691717,0,27.24,1
15576743,0,2.8,0
15729763,0,7.28,0
15572265,0,10.47,0
15709459,0,41.04,0
15655436,0,1.97,0
15739850,0,15.3,0
15596623,0,11.19,0
15572706,0,3.73,0
15781582,0,48.4,1
15750049,0,19.81,0
15665802,0,0.96,0
15741719,0,17.0,0
15736397,0,2.39,0
15718106,1,77.54,1
15785559,1,89.89,1
15634375,1,67.9,1
15647842,0,0.75,0
15749557,0,2.67,0
15635256,0,15.44,0
15641675,0,2.05,0
15636353,0,8.84,0
15807524,0,6.11,0
15676091,0,26.06,1
15680430,0,38.64,0
15636700,0,6.91,0
15765258,0,18.73,0
15664547,0,42.58,0
15665221,0,32.18,1
15670058,0,39.72,0
15737310,0,36.47,0
